Order City,Apparel,Book Shop,Discs Shop,Fan Shop,Fitness,Footwear,Golf,Health and Beauty ,Outdoors,Pet Shop,Technology
Friedberg,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
Friedrichshafen,7.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Frisco,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Frontera,2.0,0.0,0.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
Frontignan,6.0,0.0,0.0,9.0,0.0,2.0,8.0,0.0,4.0,0.0,0.0
Fuengirola,6.0,0.0,0.0,4.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0
Fuenlabrada,3.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
Fuji,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fujisawa,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Fukui,5.0,0.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
Fukuyama,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Fulda,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Funabashi,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Funtua,3.0,0.0,0.0,11.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0
Fushun,2.0,1.0,0.0,3.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0
Fuzhou,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Gaborone,4.0,0.0,0.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
Gagnoa,3.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0
Gagny,4.0,0.0,0.0,6.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0
